PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN,Image,Exponent
32.794188314027615,0.8625840585890029,0.9651899933815002,0.882943860902238,0.008636343622818635,0.37313754663596815,file1000071.h5,1.0
32.80132697520659,0.8625846116192916,0.9651923179626465,0.882900731939886,0.008622159401864475,0.37322711881612214,file1000071.h5,1.25
32.808359475488004,0.8625787347304645,0.9651921391487122,0.8828525689922445,0.008608208897254777,0.37333582444070096,file1000071.h5,1.5
32.822081363241594,0.8625476886501725,0.9651836156845093,0.8827412466005485,0.008581053482835216,0.3736106680470925,file1000071.h5,2.0
32.84798467927713,0.8624086161802611,0.965134859085083,0.8824602377825225,0.008530024473201987,0.3743891604493413,file1000071.h5,3.0
33.748270884524615,0.8864507221223463,0.9760375618934631,0.9145113059743978,0.006613055008432766,0.2717762136612256,file1000073.h5,0.0
33.78352571398981,0.8864622150553857,0.9760631918907166,0.913558428563283,0.006559589353247523,0.2717342861577124,file1000073.h5,0.25
33.817766908517754,0.8864695322839853,0.9760863780975342,0.91262313025297,0.006508074755488196,0.27170611821364005,file1000073.h5,0.5
33.85098967974913,0.8864727422332919,0.9761072993278503,0.9117056054048852,0.006458479058536348,0.27169149287231587,file1000073.h5,0.75
33.883191075767726,0.8864719298352596,0.9761266112327576,0.9108060288204625,0.006410768822029942,0.27169017750296376,file1000073.h5,1.0
33.91436988944647,0.8864671834591494,0.976143479347229,0.9099245520778465,0.006364909526023792,0.27170192955660316,file1000073.h5,1.25
33.94452651490261,0.8864585823048637,0.9761583209037781,0.9090613059240619,0.006320865835050716,0.2717265002922169,file1000073.h5,1.5
34.00178142873169,0.8864300338729028,0.976182222366333,0.9073900176171031,0.00623808202211834,0.27181308016094474,file1000073.h5,2.0
34.10420149399161,0.8863294853539402,0.9762076735496521,0.9042707565791881,0.006092689898979736,0.27212837170908766,file1000073.h5,3.0
32.31500061232747,0.8647648964276337,0.968830943107605,0.9720730117900183,0.005047112291128657,0.3045277967576005,file1000107.h5,0.0
32.31599113397421,0.8646953752101221,0.9687967300415039,0.9719933984516115,0.005045961297017008,0.30462835322433407,file1000107.h5,0.25
32.316901456937465,0.8646244640368852,0.9687620401382446,0.9719142438415298,0.005044903725887431,0.30473224662372905,file1000107.h5,0.5
32.31773151297992,0.8645521717716572,0.9687264561653137,0.971835554453208,0.005043939598355759,0.30483946731306333,file1000107.h5,0.75
32.31848131972591,0.864478519519549,0.9686903357505798,0.9717573368556083,0.005043068840463284,0.3049500038065519,file1000107.h5,1.0
32.31915079809212,0.8644035055144516,0.9686539173126221,0.9716795968468062,0.005042291495731948,0.3050638454075003,file1000107.h5,1.25
32.319739876496456,0.8643271250644379,0.9686167240142822,0.971602339936442,0.005041607604106604,0.30518098069087346,file1000107.h5,1.5
32.32067688728539,0.8641702881553193,0.968540608882904,0.9714492968971058,0.0050405199708680815,0.3054250790440758,file1000107.h5,2.0
32.32158970283792,0.8638406231496207,0.9683818221092224,0.9711491745315339,0.005039460647824907,0.30595215885729343,file1000107.h5,3.0
39.495810203390405,0.9467996645269744,0.9878071546554565,0.9594427351249305,0.002299084090880662,0.2434220816828735,file1000108.h5,0.0
39.503200711381865,0.9468110808365657,0.9878089427947998,0.9593102724806031,0.0022951750036398753,0.24331177598790404,file1000108.h5,0.25
39.51050274101515,0.9468221360104817,0.9878106713294983,0.9591785430125656,0.002291319243273387,0.24320332106652354,file1000108.h5,0.5
39.517716185123575,0.9468328329699774,0.9878122210502625,0.9590475575307913,0.0022875166196663762,0.24309670669481606,file1000108.h5,0.75
39.52484097960632,0.9468431750698819,0.9878136515617371,0.9589173261086906,0.0022837669233406483,0.24299192183269971,file1000108.h5,1.0
39.53187709877569,0.9468531658153378,0.9878149032592773,0.9587878584152294,0.002280069928067829,0.2428889548024778,file1000108.h5,1.25
39.538824552149386,0.9468628087836856,0.9878160357475281,0.958659164053876,0.00227642539269417,0.24278779347421925,file1000108.h5,1.5
39.55245366450679,0.946881065936643,0.9878178238868713,0.9584041344096024,0.002269292668938414,0.24259083774847884,file1000108.h5,2.0
39.578652014579,0.9469135722395985,0.9878200888633728,0.9579037722158108,0.0022556446102652943,0.2422180173523011,file1000108.h5,3.0
30.926336044694118,0.8312150801996887,0.9600917100906372,0.8037588462140116,0.00797653463144489,0.28798304997519764,file1000243.h5,0.0
30.92969578070537,0.8311525706644772,0.9600701928138733,0.8040360517209324,0.007970366308231553,0.28811790395578374,file1000243.h5,0.25
30.932893823960747,0.831084355696706,0.9600463509559631,0.804315407044648,0.00796449927684727,0.2882640519871148,file1000243.h5,0.5
30.935930820812274,0.8310106020165211,0.9600204229354858,0.8045968064827335,0.007958931694277242,0.2884211742944944,file1000243.h5,0.75
30.93880767072376,0.8309314831094748,0.9599920511245728,0.8048801413002683,0.007953661291134307,0.2885889365184567,file1000243.h5,1.0
30.941525529654733,0.8308471625043303,0.9599617719650269,0.8051652965443256,0.007948685366355516,0.2887669924688362,file1000243.h5,1.25
30.94408559400886,0.8307577773607426,0.9599292874336243,0.8054521563092948,0.00794400118306011,0.2889549929019018,file1000243.h5,1.5
